Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
RouteSONAR,"$95,000",Series A,,Não tivemos acesso,,
Nexia,"$50,000",Series A,,Não tivemos acesso,,
WideLabs AI,,Series A,,Não tivemos acesso,,
Vox Capital,,Series A,Monitoramento,Não se aplica,,
Techtrials - Healthcare Data Science,,Series A,,Não tivemos acesso,,
Sensorweb,,Series A,Cadastro Startup,Não tivemos acesso,,
Rede Frete Fácil,,Series A,Cadastro Startup,Não tivemos acesso,,
Reclame Aqui,,Series A,Registered,Não tivemos acesso,,
Quero Education,,Series A,Registered,Não tivemos acesso,,
Preâmbulo Tech,,Series A,,Não tivemos acesso,,
NSTech,,Series A,Registered,Não tivemos acesso,,
NFTupdates,,Series A,,Não tivemos acesso,,
Mercado Bitcoin,,Series A,Cadastro Startup,Não tivemos acesso,,
Macro,,Series A,,Não tivemos acesso,,
Gestão Agropecuária,,Series A,P.Comitê 01,Dúvida,,
Gaivota,,Series A,,Não tivemos acesso,,
Express Ctb,,Series A,P.Comitê 01,Indefinido,,
Delivery Much SA,,Series A,Cadastro Startup,Não tivemos acesso,,
CorpServices,,Series A,,Não tivemos acesso,,
Concash,,Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Camino Education,,Series A,Zero,Não tivemos acesso,,
Blue Fleet,,Series A,Opportunity,Indefinido,,
Clinicorp,,Series A,Discard,Falso Negativo,,
Wolk Tecnologia,,Series A,Discard,Indefinido,,
Base39,,Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Musa Tecnologia LTDA,,Series A,Discard,Falso Negativo,,
ATW Delivery Brands,,Series A,,Não tivemos acesso,,
BBNK,,Series A,Discard,Não tivemos acesso,,
VHSYS,,Series A,Discard,Indefinido,,
Bcredi,,Series A,Discard,Dúvida,,
Beblue App,,Series A,Discard,Não se aplica,,
TideWise,,Series A,Discard,Indefinido,,
NetLex,,Series A,Discard,Não tivemos acesso,,
AMcom Information Systems,,Series A,,Não tivemos acesso,,
I.Systems,,Series A,Discard,Não tivemos acesso,,
Hariken,,Series A,Discard,Verdadeiro Negativo,,
HANZO,,Series A,Discard,Indefinido,,
Gran Cursos Online,,Series A,Discard,Indefinido,,
NeuroUp,,Series A,Discard,Verdadeiro Negativo,,
Plamev,,Series A,Discard,Não tivemos acesso,,
iClinic,,Series A,Discard,Não se aplica,,
