,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
97,88i Seguradora Digital S.A.,2640069.0,Seed,"Auto Insurance, Blockchain, Commercial Insurance, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Life Insurance, Property Insurance",2021-01-08,"Dash Investment Foundation, DOMO.VC",Dash Investment Foundation,Seed,350000.0,24000000.0,Yes,88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance,https://88iseguradora.digital/,$1M to $10M,Seed,7,"São Paulo, Sao Paulo, Brazil, South America",2021,672.0
98,88i Seguradora Digital S.A.,2640069.0,Seed,"Auto Insurance, Blockchain, Commercial Insurance, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Life Insurance, Property Insurance",2021-01-08,"Dash Investment Foundation, DOMO.VC",DOMO.VC,Seed,350000.0,24000000.0,Yes,88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance,https://88iseguradora.digital/,$1M to $10M,Seed,7,"São Paulo, Sao Paulo, Brazil, South America",2021,672.0
100,88i Seguradora Digital S.A.,2640069.0,Convertible Note,"Auto Insurance, Blockchain, Commercial Insurance, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Life Insurance, Property Insurance",2021-07-18,"Hannover Re, Scor",Hannover Re,,977154.0,80000000.0,No,88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance,https://88iseguradora.digital/,$1M to $10M,Seed,7,"São Paulo, Sao Paulo, Brazil, South America",2021,61.0
101,88i Seguradora Digital S.A.,2640069.0,Convertible Note,"Auto Insurance, Blockchain, Commercial Insurance, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Life Insurance, Property Insurance",2021-07-18,"Hannover Re, Scor",Scor,,977154.0,80000000.0,No,88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance,https://88iseguradora.digital/,$1M to $10M,Seed,7,"São Paulo, Sao Paulo, Brazil, South America",2021,61.0
104,88i Seguradora Digital S.A.,2640069.0,Grant,"Auto Insurance, Blockchain, Commercial Insurance, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Life Insurance, Property Insurance",2022-12-20,The Hashgraph Association,The Hashgraph Association,,250000.0,,No,88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance,https://88iseguradora.digital/,$1M to $10M,Seed,7,"São Paulo, Sao Paulo, Brazil, South America",2022,175.0
105,8Quali,87675.0,Pre-Seed,"Quality Assurance, Software",2022-05-10,Bossanova Investimentos,Bossanova Investimentos,Seed,87674.0,1636597.0,Yes,"8Quali is a software company that provides competency management, project management, and indicator management software services.",https://8quali.com.br/,,Seed,1,"Blumenau, Santa Catarina, Brazil, South America",2022,
106,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,Adeyemi Ajao,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
107,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,Andreas Penna,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
108,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,Augusta Investments LLC,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
109,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,Greg Waldorf,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
110,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,Ignacio Vilela,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
111,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,monashees,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
112,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,Qualcomm Ventures,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
113,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-06-15,,StartCaps Ventures,Seed,3000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,
114,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,Adeyemi Ajao,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
115,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,Andreas Penna,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
116,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,Augusta Investments LLC,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
117,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,Greg Waldorf,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
118,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,Ignacio Vilela,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
119,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,monashees,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
120,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,Qualcomm Ventures,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
121,99,244329771.0,Seed,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2013-07-05,monashees,StartCaps Ventures,Seed,1329770.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2013,20.0
122,99,244329771.0,Series A,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-02-02,Tiger Global Management,GE32 Capital,Early Stage Venture,15000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,577.0
123,99,244329771.0,Series A,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-02-02,Tiger Global Management,monashees,Early Stage Venture,15000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,577.0
124,99,244329771.0,Series A,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-02-02,Tiger Global Management,Qualcomm Ventures,Early Stage Venture,15000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,577.0
125,99,244329771.0,Series A,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-02-02,Tiger Global Management,Tiger Global Management,Early Stage Venture,15000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,577.0
126,99,244329771.0,Series A,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-02-02,Tiger Global Management,West Quad Ventures,Early Stage Venture,15000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,577.0
127,99,244329771.0,Series B,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-04-08,Tiger Global Management,GE32 Capital,Early Stage Venture,25000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,65.0
128,99,244329771.0,Series B,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-04-08,Tiger Global Management,monashees,Early Stage Venture,25000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,65.0
129,99,244329771.0,Series B,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-04-08,Tiger Global Management,Qualcomm,Early Stage Venture,25000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,65.0
130,99,244329771.0,Series B,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2015-04-08,Tiger Global Management,Tiger Global Management,Early Stage Venture,25000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2015,65.0
131,99,244329771.0,Series C,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2017-01-05,Didi,Didi,Late Stage Venture,100000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2017,638.0
132,99,244329771.0,Series C,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2017-01-05,Didi,monashees,Late Stage Venture,100000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2017,638.0
133,99,244329771.0,Series C,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2017-01-05,Didi,Riverwood Capital,Late Stage Venture,100000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2017,638.0
134,99,244329771.0,Series C,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software",2017-05-24,SoftBank Vision Fund,SoftBank Vision Fund,Late Stage Venture,100000000.0,,Yes,99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,http://99app.com,$50M to $100M,M&A,6,"São Paulo, Sao Paulo, Brazil, South America",2017,139.0
135,99Biz,,Seed,"Internet, Small and Medium Businesses",2014-01-04,ACE Ventures,ACE Ventures,Seed,,,Yes,99Biz is an online network for small and medium businesses that cater to other businesses.,http://www.99biz.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2014,
136,99Biz,,Seed,"Internet, Small and Medium Businesses",2014-01-04,ACE Ventures,Bossanova Investimentos,Seed,,,Yes,99Biz is an online network for small and medium businesses that cater to other businesses.,http://www.99biz.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2014,
137,99Hunters,,Seed,"Recruiting, Staffing Agency",2022-03-03,,Bossanova Investimentos,Seed,,,Yes,99Hunters is a recruitment and selection marketplace.,https://www.99hunters.com/,$1M to $10M,Seed,1,"Vila Olímpia, Sao Paulo, Brazil, South America",2022,
138,99Hunters,,Seed,"Recruiting, Staffing Agency",2022-03-03,,Prana Capital,Seed,,,Yes,99Hunters is a recruitment and selection marketplace.,https://www.99hunters.com/,$1M to $10M,Seed,1,"Vila Olímpia, Sao Paulo, Brazil, South America",2022,
